Review ID,Username,Rating,Review Text,Date
e2a5603e-7048-4e1d-a5ef-994475ba74e4,dwi raynsa,5,"ada perbaikan dari versi sebelumnya, baguss.",2025-09-09 21:22:44
184e0d0a-b27a-4c70-8fdc-482c80b91701,Yoga,5,aman dan mantab,2025-09-09 21:20:27
e5040f4d-bc5a-4269-97cc-fbcc82e98704,Dea Novita,5,bagiku untuk transaksinya gampang yahhh,2025-09-09 21:19:43
3c51acf1-308c-408f-8ff0-c460fa2a3427,Siti Arina,5,Update mulu bang,2025-09-09 12:31:40
b708c250-a441-4a01-bf46-405302753ff1,Najla Fariha,1,buat apk ini dan tim.apk ini gak membantu sama sekali bahkan saya rugi dan merasa dibebani buat login doang dan cek rekening saya. saya masih pelajar tapi rasanya kalo pake aplikasi ini kayak udah bayar pajak buat negara. Masa login minta kode verfik aja bayar pulsa 2.100? udah gitu saya login yg pertama gagal dong. padahal saya cuma matiin hp bentaran. login ke 2 kena biaya pulsa lagi yg sama dan saya pas login udah punya rekening malah ga bisa tolong dong bank DKI mikir dikit ☺️☺️🙏👎,2025-09-09 11:34:37
2cbc9a35-f8b6-43d3-9738-054e5af78439,Navy Patria Nagara,2,mau ganti nomor telepon aja ribet dan susah banget,2025-09-09 11:23:54
b47ed2ab-e050-4b45-a31a-ae06ab896a1a,FIKI ROMANSYAH,1,eror baen,2025-09-09 08:52:45
a9ed9f12-1dae-4720-98c5-5df0624f98a7,ORYZA SATIVA PUTRI,5,aplikasi mudah digunakan. pembukaan rekening cepat dan mudah. bayar bayar apapun jd bisa dimana aja dan kapanpun.,2025-09-09 01:43:23
e9b0970d-02cf-4cd6-a32d-ac10e6a6594e,FOB,5,"mudah banget cara transaksinya, so far simpel dan tidak membingungkan",2025-09-09 00:49:06
1195eadb-74a0-4be9-80c2-9774754b9351,Anita CGM,5,"mantappp banget JakOne mobile selain bisa bikin rekening lwt online disini juga bisa banyak transaksi yang memudahkan kaya beli pulsa , bayar cicilan , byr listrik dll tanpa hambatan 👍",2025-09-08 23:18:49
277c04b2-fb4a-4a1c-86fc-d8ee73d32c63,Muhammad Faeyza,5,lagi daftar beasiswa trus harus buka rekening DKI aku pikir harus Dateng ke cabang dulu ternyata bisa langsung bikin rekening lewat aplikasi Jakone mobile sesimpel itu ❤️,2025-09-08 23:09:43
5b3a71ed-1819-4b1c-a5c8-b4c4d6ed7aed,Raihani Mufti Zamaya,5,"Baru coba daftar sendiri dan langsung berhasil, gampang banget. So far dipakai aman dan fiturnya udah cukup bagus",2025-09-08 18:37:56
89617224-733c-4c2f-92bc-2f3c2749d4ee,Nicholas Rio,5,"Awalnya bingung harus mulai dari mana, tapi akhirnya coba aplikasi JakOne Mobile. Ternyata prosesnya simpel banget, cukup daftar lewat aplikasi, aku langsung bisa dapat QRIS dengan mudah. Sekarang setiap kali ada pelanggan bayar pakai QR, aku tinggal scan aja. Nggak perlu ribet lagi urus pembayaran tunai, semuanya jadi praktis dan cepat.",2025-09-08 16:27:51
87c1076c-e16e-4834-97f7-5fb2927470bf,Mardiana,5,"mantap bank nya jakarta, warga jakarta wajib coba sih",2025-09-08 15:58:05
b92eb8ce-efa3-4dbd-bd6f-3d932d2919d9,Mar Maryanti,5,"Saya mencoba aktivasi di aplikasi JakOne dan ternyata prosesnya sangat mudah. Pendaftaran rekening berlangsung cepat dan aplikasi ini mendukung berbagai jenis transaksi seperti pulsa, kuota, dan listrik. Fitur-fiturnya lengkap dan keamanan aplikasi sangat terjamin. Sangat layak untuk diunduh dan digunakan.",2025-09-08 10:07:35
54b05b99-e910-4ccd-bff1-f7d51b577c5c,Usman _MM,5,mantap,2025-09-08 05:55:54
117267ce-7222-4174-bf39-ef647a354a21,Nadhif ramdan,5,Transaksi jadi lebih cepat dan mudah di Jakone mobile,2025-09-07 14:42:30
0fddfe5b-9b91-4677-a4eb-53efd52904ec,IVAN PRASETYO,5,"Registrasi app Jakone mobile mudah,dan Tampilan aplikasinya modern",2025-09-07 14:21:44
1b5839e7-d101-419b-839a-36e82afec4b7,ErzhaFa,5,"untuk tampilannya modern bisa dipahami, registrasi nya juga gampang ga pake ribet, sama fitur didalam aplikasi jakone mobile bisa dibilang lengkap, semakin berkembang buat Jakone mobile",2025-09-07 13:52:32
b0d93e39-b29b-4039-b69f-7f1aeabf4718,Aditya Randy,5,"registrasi JakOne mobile sangat mudah dan cepat, memudahkan untuk bertransaksi",2025-09-07 13:51:51
10797a85-28bb-429f-a75b-68c150d0c497,Darren Isaac Manalu,5,"Tampilan aplikasi modern jadi menarik untuk di unduh bisa dicoba fitur"" nya recomend banget!!!",2025-09-07 13:32:01
47d645d7-ba10-46a4-9279-886a8b51d01e,Nuraida Fauzi,5,"Transfer online emang instant sih, tapi sayang biaya adminnya :') tolong adain lagi fitur transfer BI FAST doooong",2025-09-07 10:19:11
d8b7112c-3781-44b1-8f28-fcb823423eeb,Haikal Fathian,5,aplikasinya mudah dan gampang dimengerti.. pokoknyaa rekomended bangett lahh....,2025-09-07 03:46:10
b1ad0e4e-14aa-4305-b7d2-32ace68eaa7a,Chusnul mine,5,baru pertama kali pakek dan ternyata okee bangett,2025-09-07 03:32:03
394e89d7-4be3-4ce4-baa8-5024e8c34b4c,Dea Fahmi Reza,5,"aplikasinya bagus sih, tampilannya sederhana dan mudah dipakai, cocok buat aku yang mager pengen bayar ini itu dengan mudah",2025-09-07 03:22:17
